Admissions/Covers,Members,Total Admissions,date
58,44,102,2023-02-01
95,46,141,2023-02-02
178,75,253,2023-02-03
434,116,550,2023-02-04
206,81,287,2023-02-05
49,22,71,2023-02-06
7,16,23,2023-02-07
117,37,154,2023-02-08
70,51,121,2023-02-09
155,53,208,2023-02-10
424,73,497,2023-02-11
151,56,207,2023-02-12
86,23,109,2023-02-13
16,11,27,2023-02-14
19,8,27,2023-02-15
84,41,125,2023-02-16
224,50,274,2023-02-17
506,66,572,2023-02-18
393,35,428,2023-02-19
189,52,241,2023-02-20
26,16,42,2023-02-21
0,4,4,2023-02-22
75,33,108,2023-02-23
123,47,170,2023-02-24
344,97,441,2023-02-25
214,63,277,2023-02-26
90,41,131,2023-02-27
-3,12,9,2023-02-28
